Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,status,NMEA timestamp
0.04450,57.68785833,11.98135567,57.68786,11.98136,11:17:03.113960,0.04446,0.00000,-0.00110,0.02621,-0.01402,0.01323,-0.00965,0.02428,-0.04313,1.00705,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.01583,0.85193,1.87178,A,111703.00
0.06501,57.68786507,11.98136140,57.68786,11.98136,11:17:03.133915,0.00859,0.00000,-0.00347,0.02621,-0.02410,0.00774,-0.02126,0.02977,-0.04624,0.98753,0.05774,0.00000,0.11437,0.12215,0.34077,0.74871,0.01583,0.85193,1.87178,A,111703.00
0.06978,57.68786507,11.98136140,57.68786,11.98136,11:17:03.138662,0.00317,0.00000,-0.00462,0.02621,-0.02563,0.00758,-0.02080,0.02599,-0.04477,0.99338,0.06608,0.00000,0.11437,0.12215,0.34077,0.74871,0.01583,0.85193,1.87178,A,111703.00
0.08016,57.68786507,11.98136140,57.68786,11.98136,11:17:03.149024,0.00315,0.00000,-0.00566,0.02621,-0.02609,0.00865,-0.02446,0.02684,-0.03447,0.99357,0.07668,0.00000,0.11437,0.12215,0.34077,0.74871,0.01583,0.85193,1.87178,A,111703.00
0.09095,57.68786507,11.98136140,57.68786,11.98136,11:17:03.159819,0.00354,0.00000,-0.00672,0.02621,-0.02135,0.00468,-0.02171,0.03172,-0.04014,0.99674,0.08745,0.00000,0.11437,0.12215,0.34077,0.74871,0.01583,0.85193,1.87178,A,111703.00
0.10105,57.68786507,11.98136140,57.68786,11.98136,11:17:03.169924,0.00300,0.00000,-0.00778,0.02621,-0.01738,0.00331,-0.02110,0.04605,-0.04459,0.99509,0.09757,0.00000,0.11437,0.12215,0.34077,0.74871,0.01583,0.85193,1.87178,A,111703.00
0.11169,57.68786507,11.98136140,57.68786,11.98136,11:17:03.180555,0.00323,0.00000,-0.00902,0.02621,-0.01402,0.00514,-0.02171,0.04270,-0.05978,0.99711,0.10821,0.00000,0.11437,0.12215,0.34077,0.74871,0.01583,0.85193,1.87178,A,111703.00
0.13390,57.68786507,11.98136140,57.68786,11.98136,11:17:03.202802,0.01505,0.00000,-0.01010,0.02621,-0.01173,0.00132,-0.01606,0.03520,-0.05173,0.99094,0.11831,0.00000,0.11437,0.12215,0.34077,0.74871,0.13251,0.86184,1.92738,A,111703.10
0.15188,57.68786931,11.98136491,57.68786,11.98136,11:17:03.220766,0.00791,0.00000,-0.01141,0.02621,-0.01112,-0.00387,-0.01667,0.03873,-0.05508,0.97996,0.14610,0.00000,0.24160,0.24938,0.54920,1.22018,0.13251,0.86184,1.92738,A,111703.10
0.15720,57.68786931,11.98136491,57.68786,11.98136,11:17:03.226288,0.00300,0.00000,-0.01251,0.02621,-0.01387,-0.00158,-0.01362,0.04270,-0.05575,0.98417,0.15371,0.00000,0.24160,0.24938,0.54920,1.22018,0.13251,0.86184,1.92738,A,111703.10
