Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.04777,57.68782833,11.98137367,57.68782833,11.98137367,11:04:29.554401,0.04773,0.00000,-0.00050,-0.04543,0.01748,0.00486,-0.00458,-0.01226,-0.02391,1.00461,0.00001,0.00000,0.01349,0.00000,0.00000,0.00000,0.01619,0.00000,0.00000,0.00000,0.00000,A,110429.40
0.05927,57.68782833,11.98137367,57.68782833,11.98137367,11:04:29.566457,0.00657,0.00000,-0.00084,-0.04543,0.01107,0.00699,-0.00748,0.01202,-0.04069,0.99308,0.05349,0.00000,0.01349,-0.00000,0.00000,0.00000,0.01619,0.00000,0.00000,0.00000,0.00000,A,110429.40
0.06627,57.68782833,11.98137367,57.68782833,11.98137367,11:04:29.572867,0.00317,0.00000,-0.00156,-0.04543,0.00374,0.00424,-0.00794,0.01397,-0.02922,0.97582,0.06291,0.00000,0.01349,-0.00000,0.00000,0.00000,0.01619,0.00000,0.00000,0.00000,0.00000,A,110429.40
0.07663,57.68782833,11.98137367,57.68782833,11.98137367,11:04:29.583223,0.00313,0.00000,-0.00195,-0.04543,0.00878,-0.00141,-0.00305,-0.01025,-0.01269,0.99399,0.07326,0.00000,0.01349,-0.00000,0.00000,0.00000,0.01619,0.00000,0.00000,0.00000,0.00000,A,110429.40
0.08756,57.68782833,11.98137367,57.68782833,11.98137367,11:04:29.594181,0.00373,0.00000,-0.00249,-0.04543,0.00710,0.00455,-0.00565,0.00903,-0.02178,1.00461,0.08399,0.00000,0.01349,-0.00000,0.00000,0.00000,0.01619,0.00000,0.00000,0.00000,0.00000,A,110429.40
0.09739,57.68782833,11.98137367,57.68782833,11.98137367,11:04:29.603982,0.00316,0.00000,-0.00314,-0.04543,0.01122,0.00348,-0.00794,0.00384,-0.03227,1.00375,0.09402,0.00000,0.01349,-0.00000,0.00000,0.00000,0.01619,0.00000,0.00000,0.00000,0.00000,A,110429.40
0.11124,57.68782833,11.98137367,57.68782833,11.98137367,11:04:29.618075,0.00662,0.00000,-0.00403,-0.04543,0.00496,-0.00324,-0.00671,0.02714,-0.04496,0.97100,0.10781,0.00000,0.01349,-0.00000,0.00000,0.00000,0.01619,0.00000,0.00000,0.00000,0.00000,A,110429.40
0.13305,57.68782833,11.98137367,57.68782883,11.98137350,11:04:29.639662,0.01804,0.00000,-0.00481,-0.04543,-0.00436,-0.00431,-0.00733,0.00012,-0.03233,0.98314,0.11483,0.00000,0.01349,-0.00000,0.00000,0.00000,0.12959,-0.00991,0.05560,1.74712,1.74712,A,110429.50
0.14316,57.68782836,11.98137366,57.68782883,11.98137350,11:04:29.650028,0.00520,0.00000,-0.00524,-0.04543,0.00404,0.00363,-0.00763,-0.02098,-0.01885,1.00369,0.13784,0.00000,0.27556,0.26207,-0.00050,0.00278,0.12959,-0.00991,0.05560,1.74712,1.74712,A,110429.50
0.15118,57.68782836,11.98137366,57.68782883,11.98137350,11:04:29.657983,0.00298,0.00000,-0.00586,-0.04543,0.00664,0.00669,-0.00656,0.00494,-0.02965,0.99900,0.14782,0.00000,0.27556,0.26207,-0.00050,0.00278,0.12959,-0.00991,0.05560,1.74712,1.74712,A,110429.50
0.16191,57.68782836,11.98137366,57.68782883,11.98137350,11:04:29.668508,0.00332,0.00000,-0.00682,-0.04543,-0.00191,0.00440,-0.01007,0.02257,-0.04752,1.00436,0.15855,0.00000,0.27556,0.26207,-0.00050,0.00278,0.12959,-0.00991,0.05560,1.74712,1.74712,A,110429.50
0.17213,57.68782836,11.98137366,57.68782883,11.98137350,11:04:29.678732,0.00314,0.00000,-0.00772,-0.04543,0.00160,0.00211,-0.01298,0.02287,-0.04715,1.00162,0.16875,0.00000,0.27556,0.26207,-0.00050,0.00278,0.12959,-0.00991,0.05560,1.74712,1.74712,A,110429.50
0.18266,57.68782836,11.98137366,57.68782883,11.98137350,11:04:29.689265,0.00310,0.00000,-0.00835,-0.04543,-0.00039,-0.00568,-0.01069,0.01452,-0.02861,1.00918,0.17931,0.00000,0.27556,0.26207,-0.00050,0.00278,0.12959,-0.00991,0.05560,1.74712,1.74712,A,110429.50
0.19314,57.68782836,11.98137366,57.68782883,11.98137350,11:04:29.699737,0.00318,0.00000,-0.00871,-0.04543,-0.00161,-0.00690,-0.01282,-0.03733,-0.01061,1.02236,0.18978,0.00000,0.27556,0.26207,-0.00050,0.00278,0.12959,-0.00991,0.05560,1.74712,1.74712,A,110429.50
0.20317,57.68782836,11.98137366,57.68782883,11.98137350,11:04:29.709984,0.00298,0.00000,-0.00927,-0.04543,0.00450,-0.00202,-0.01328,-0.00817,-0.02830,1.02022,0.19981,0.00000,0.27556,0.26207,-0.00050,0.00278,0.12959,-0.00991,0.05560,1.74712,1.74712,A,110429.50
