Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,FilteredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.08570,57.78208667,12.77366783,57.78208667,12.77366783,16:25:29.064633,0.08565,0.00000,1.50000,-0.00040,-0.12714,-0.03560,0.00356,-0.06545,0.00677,0.02172,1.01766,0.00001,0.00000,0.07419,0.00000,0.00000,0.00000,0.01525,0.00000,0.00000,0.00000,0.00000,A,152425.00
0.10606,57.78208667,12.77366783,57.78208667,12.77366783,16:25:29.084460,0.00947,0.00000,0.00000,-0.00533,-0.10945,-0.05179,-0.00148,-0.04926,0.09827,0.03556,0.98369,0.10022,0.00000,0.07263,0.00882,0.00000,0.00000,0.01525,0.00000,0.00000,0.00000,0.00000,A,152425.00
0.11195,57.78208667,12.77366783,57.78208667,12.77366783,16:25:29.090358,0.00503,0.00000,0.00000,-0.00491,-0.10786,-0.05240,-0.00805,-0.04682,0.07454,0.06637,0.95630,0.10661,0.00000,0.07117,0.00829,0.00000,0.00000,0.01525,0.00000,0.00000,0.00000,0.00000,A,152425.00
0.17361,57.78208667,12.77366783,57.78208633,12.77366683,16:25:29.152056,0.05614,0.00000,1.50000,-0.00406,-0.10520,-0.04599,-0.00911,-0.04392,0.01903,0.10047,0.92915,0.11706,0.00000,0.06969,0.00837,0.00000,0.00000,0.13393,-0.05928,-0.03706,-2.58283,-2.58283,A,152425.10
0.19652,57.78208665,12.77366778,57.78208633,12.77366683,16:25:29.174927,0.00867,0.00000,0.00000,-0.00819,-0.08771,-0.05790,-0.00407,-0.03491,0.05984,0.02702,1.00253,0.19107,0.00000,-0.32052,-0.37161,-0.00296,-0.00185,0.13393,-0.05928,-0.03706,-2.58283,-2.58283,A,152425.10
0.20319,57.78208663,12.77366774,57.78208633,12.77366683,16:25:29.181593,0.00516,0.00000,0.00000,-0.00878,-0.08621,-0.06874,-0.00239,-0.03323,0.06466,0.00604,0.99814,0.19759,0.00000,-0.65234,-0.70255,-0.00578,-0.00361,0.13393,-0.05928,-0.03706,-2.58283,-2.58283,A,152425.10
0.21393,57.78208662,12.77366769,57.78208633,12.77366683,16:25:29.192336,0.00544,0.00000,0.00000,-0.00999,-0.08417,-0.07699,-0.00407,-0.03277,0.07424,-0.01013,0.98972,0.20830,0.00000,-0.93456,-0.98358,-0.00846,-0.00529,0.13393,-0.05928,-0.03706,-2.58283,-2.58283,A,152425.10
0.22490,57.78208660,12.77366765,57.78208633,12.77366683,16:25:29.203549,0.00600,0.00000,0.00000,-0.01064,-0.08239,-0.08035,-0.00453,-0.03735,0.08540,0.02532,0.98600,0.21864,0.00000,-1.17460,-1.22258,-0.01100,-0.00688,0.13393,-0.05928,-0.03706,-2.58283,-2.58283,A,152425.10
0.28476,57.78208659,12.77366761,57.78208600,12.77366550,16:25:29.263202,0.05520,0.00000,1.50000,-0.01117,-0.08066,-0.08539,0.00173,-0.04315,0.04325,0.03654,0.97515,0.22916,0.00000,-1.37879,-1.42576,-0.01341,-0.00838,0.24599,-0.13833,-0.07413,-2.70312,-2.70312,A,152425.20
0.30853,57.78208656,12.77366750,57.78208600,12.77366550,16:25:29.286938,0.00819,0.00000,0.00000,-0.01784,-0.07254,-0.08905,0.00707,-0.03720,0.07046,0.00128,1.00382,0.30312,0.00000,-1.57111,-1.61333,-0.01966,-0.01167,0.24599,-0.13833,-0.07413,-2.70312,-2.70312,A,152425.20
0.31586,57.78208653,12.77366740,57.78208600,12.77366550,16:25:29.294260,0.00512,0.00000,0.00000,-0.01868,-0.07228,-0.09577,-0.00148,-0.04041,0.07027,-0.00287,0.99875,0.31051,0.00000,-1.73459,-1.77668,-0.02559,-0.01479,0.24599,-0.13833,-0.07413,-2.70312,-2.70312,A,152425.20
0.32658,57.78208651,12.77366731,57.78208600,12.77366550,16:25:29.304983,0.00526,0.00000,0.00000,-0.01937,-0.07209,-0.09394,0.00371,-0.04376,0.08808,0.02342,0.97874,0.32090,0.00000,-1.87358,-1.91554,-0.03123,-0.01776,0.24599,-0.13833,-0.07413,-2.70312,-2.70312,A,152425.20
0.33683,57.78208648,12.77366722,57.78208600,12.77366550,16:25:29.315230,0.00511,0.00000,0.00000,-0.01980,-0.07206,-0.09134,0.00173,-0.04468,0.04496,0.03904,0.97142,0.33149,0.00000,-1.99172,-2.03367,-0.03658,-0.02058,0.24599,-0.13833,-0.07413,-2.70312,-2.70312,A,152425.20
0.40014,57.78208646,12.77366713,57.78208567,12.77366450,16:25:29.378594,0.05803,0.00000,1.50000,-0.02064,-0.07206,-0.08737,0.00310,-0.04117,0.08229,0.00683,0.97472,0.34167,0.00000,-2.09213,-2.13408,-0.04167,-0.02326,0.35853,-0.19761,-0.11119,-2.58283,-2.58283,A,152425.30
0.42218,57.78208642,12.77366700,57.78208567,12.77366450,16:25:29.400591,0.00772,0.00000,0.00000,-0.02778,-0.06977,-0.09669,0.00906,-0.03811,0.05661,0.00250,0.97563,0.41646,0.00000,-2.15965,-2.20026,-0.04947,-0.02765,0.35853,-0.19761,-0.11119,-2.58283,-2.58283,A,152425.30
0.43029,57.78208638,12.77366687,57.78208567,12.77366450,16:25:29.408696,0.00543,0.00000,0.00000,-0.02842,-0.06914,-0.09073,0.01089,-0.03689,0.05795,0.00262,1.00162,0.42463,0.00000,-2.21709,-2.25734,-0.05687,-0.03183,0.35853,-0.19761,-0.11119,-2.58283,-2.58283,A,152425.30
