Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,FilteredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.07056,57.68832267,11.98086167,57.68832267,11.98086167,14:58:27.498701,0.07052,0.00000,1.50000,-0.00225,0.02000,0.00197,0.00072,-0.00086,-0.05386,-0.11999,0.99235,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.02510,0.00000,0.00000,0.00000,0.00000,A,145827.40
0.09044,57.68832267,11.98086167,57.68832267,11.98086167,14:58:27.518579,0.00767,0.00000,0.00000,-0.00432,0.00000,0.00166,-0.00141,0.00051,-0.05246,-0.11773,0.98991,0.08387,0.00000,0.00000,0.00000,0.00000,0.00000,0.02510,0.00000,0.00000,0.00000,0.00000,A,145827.40
0.09854,57.68832267,11.98086167,57.68832267,11.98086167,14:58:27.526663,0.00537,0.00000,0.00000,-0.00652,0.00000,-0.00261,-0.00050,0.00204,-0.05161,-0.11810,0.99399,0.09254,0.00000,0.00000,0.00000,0.00000,0.00000,0.02510,0.00000,0.00000,0.00000,0.00000,A,145827.40
0.10939,57.68832267,11.98086167,57.68832267,11.98086167,14:58:27.537518,0.00582,0.00000,0.00000,-0.00865,0.00000,0.00105,0.00118,-0.00101,-0.05283,-0.11736,0.99241,0.10292,0.00000,0.00000,0.00000,0.00000,0.00000,0.02510,0.00000,0.00000,0.00000,0.00000,A,145827.40
0.11933,57.68832267,11.98086167,57.68832267,11.98086167,14:58:27.547455,0.00522,0.00000,0.00000,-0.01075,0.00000,-0.00338,0.00103,-0.00269,-0.04935,-0.11517,0.99162,0.11328,0.00000,0.00000,0.00000,0.00000,0.00000,0.02510,0.00000,0.00000,0.00000,0.00000,A,145827.40
0.15821,57.68832267,11.98086167,57.68832350,11.98086017,14:58:27.586378,0.03371,0.00000,1.50000,-0.01285,0.02000,0.00166,-0.00386,0.00097,-0.05100,-0.12017,0.99235,0.12388,0.00000,0.00000,0.00000,0.00000,0.00000,0.14175,-0.08915,0.09266,2.33690,2.33690,A,145827.50
0.17860,57.68832271,11.98086159,57.68832350,11.98086017,14:58:27.606729,0.00701,0.00000,0.00000,-0.01485,0.00000,0.00044,0.00301,-0.00254,-0.05161,-0.11621,0.99223,0.17255,0.00000,0.35054,0.35054,-0.00446,0.00463,0.14175,-0.08915,0.09266,2.33690,2.33690,A,145827.50
0.18816,57.68832275,11.98086152,57.68832350,11.98086017,14:58:27.616287,0.00600,0.00000,0.00000,-0.01685,0.00000,0.00014,0.00225,-0.00025,-0.05283,-0.11663,0.99076,0.18214,0.00000,0.64849,0.64849,-0.00869,0.00903,0.14175,-0.08915,0.09266,2.33690,2.33690,A,145827.50
0.19766,57.68832279,11.98086145,57.68832350,11.98086017,14:58:27.625786,0.00510,0.00000,0.00000,-0.01886,0.00000,-0.00276,-0.00401,-0.00010,-0.05215,-0.11755,0.99216,0.19194,0.00000,0.90175,0.90175,-0.01272,0.01322,0.14175,-0.08915,0.09266,2.33690,2.33690,A,145827.50
0.20812,57.68832282,11.98086139,57.68832350,11.98086017,14:58:27.636250,0.00517,0.00000,0.00000,-0.02084,0.00000,-0.00002,0.00042,0.00082,-0.05039,-0.11883,0.98924,0.20211,0.00000,1.11703,1.11703,-0.01654,0.01719,0.14175,-0.08915,0.09266,2.33690,2.33690,A,145827.50
0.21891,57.68832286,11.98086133,57.68832350,11.98086017,14:58:27.647033,0.00556,0.00000,0.00000,-0.02281,0.00000,-0.00399,0.00027,-0.00147,-0.05087,-0.11785,0.99192,0.21273,0.00000,1.30001,1.30001,-0.02017,0.02096,0.14175,-0.08915,0.09266,2.33690,2.33690,A,145827.50
