Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,status,NMEA timestamp
0.04376,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.038798,0.04372,0.00000,-0.00056,0.02793,-0.01607,0.00767,-0.00074,0.02544,-0.00555,0.99125,0.00001,0.00000,-0.00829,0.00000,0.00000,0.00000,0.01438,0.00000,0.00000,-1.06518,A,144940.90
0.06244,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.057413,0.00738,0.00000,-0.00261,0.02793,-0.02935,0.00767,0.00186,0.03873,-0.00817,0.99796,0.05611,0.00000,-0.16807,-0.15978,0.00000,0.00000,0.01438,0.00000,0.00000,-1.06518,A,144940.90
0.06879,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.063759,0.00333,0.00000,-0.00327,0.02793,-0.03332,0.00844,-0.00425,0.03544,-0.00579,0.99393,0.06512,0.00000,-0.16807,-0.15978,0.00000,0.00000,0.01438,0.00000,0.00000,-1.06518,A,144940.90
0.07901,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.073972,0.00315,0.00000,-0.00397,0.02793,-0.03332,0.00263,-0.00196,0.03062,-0.00604,0.99863,0.07558,0.00000,-0.16807,-0.15978,0.00000,0.00000,0.01438,0.00000,0.00000,-1.06518,A,144940.90
0.08940,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.084379,0.00315,0.00000,-0.00475,0.02793,-0.04050,0.00416,-0.00700,0.02617,-0.00744,0.99698,0.08597,0.00000,-0.16807,-0.15978,0.00000,0.00000,0.01438,0.00000,0.00000,-1.06518,A,144940.90
0.09963,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.094594,0.00297,0.00000,-0.00544,0.02793,-0.03745,0.00706,-0.00929,0.03013,-0.00415,0.99753,0.09621,0.00000,-0.16807,-0.15978,0.00000,0.00000,0.01438,0.00000,0.00000,-1.06518,A,144940.90
0.11110,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.106067,0.00404,0.00000,-0.00620,0.02793,-0.03974,0.00309,-0.00883,0.03684,-0.00531,0.99406,0.10766,0.00000,-0.16807,-0.15978,0.00000,0.00000,0.01438,0.00000,0.00000,-1.06518,A,144940.90
0.13242,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.127409,0.01497,0.00000,-0.00696,0.02793,-0.03974,0.00523,-0.00425,0.03495,-0.01159,0.99204,0.11697,0.00000,-0.16807,-0.15978,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.14980,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.144771,0.00706,0.00000,-0.00852,0.02793,-0.04325,0.00691,-0.00364,0.02593,-0.01232,0.97844,0.14409,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.15595,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.151114,0.00297,0.00000,-0.00921,0.02793,-0.04203,0.00676,-0.00348,0.03068,-0.01043,0.97569,0.15252,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.16653,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.161493,0.00316,0.00000,-0.01002,0.02793,-0.04172,0.00111,-0.00165,0.04343,-0.01257,0.97826,0.16310,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.17690,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.171867,0.00314,0.00000,-0.01075,0.02793,-0.03714,-0.00271,-0.00303,0.04990,-0.01324,0.98741,0.17345,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.18815,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.183342,0.00399,0.00000,-0.01149,0.02793,-0.04203,-0.00760,-0.00257,0.03849,-0.00793,1.00058,0.18471,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.19772,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.192681,0.00316,0.00000,-0.01220,0.02793,-0.03668,-0.00699,-0.00623,0.02745,-0.01452,1.00784,0.19429,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.20777,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.202732,0.00297,0.00000,-0.01292,0.02793,-0.03806,-0.00653,-0.00440,0.01696,-0.01446,1.00772,0.20434,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.21832,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.213287,0.00313,0.00000,-0.01376,0.02793,-0.04081,-0.00745,-0.00822,0.02184,-0.01952,1.00430,0.21489,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.22874,57.68783050,11.98134250,57.68783050,11.98134250,14:49:41.223715,0.00315,0.00000,-0.01447,0.02793,-0.03806,-0.00179,-0.00486,0.02690,-0.01470,0.99772,0.22510,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.13095,0.00000,0.00000,-1.06518,A,144941.00
0.25125,57.68783050,11.98134250,57.68783067,11.98134233,14:49:41.246221,0.01526,0.00000,-0.01518,0.02793,-0.03989,-0.00271,-0.00119,0.03117,-0.01232,0.98832,0.23571,0.00000,-0.30388,-0.29559,0.00000,0.00000,0.24997,-0.00991,0.01853,-1.06464,A,144941.10
0.26914,57.68783051,11.98134249,57.68783067,11.98134233,14:49:41.264120,0.00640,0.00000,-0.01640,0.02793,-0.02798,-0.00531,0.00018,0.02111,-0.02483,0.98802,0.26330,0.00000,-0.41924,-0.41094,-0.00050,0.00093,0.24997,-0.00991,0.01853,-1.06464,A,144941.10
0.27601,57.68783051,11.98134249,57.68783067,11.98134233,14:49:41.271199,0.00304,0.00000,-0.01705,0.02793,-0.02889,-0.00515,0.00201,0.02013,-0.02092,0.99778,0.27257,0.00000,-0.41924,-0.41094,-0.00050,0.00093,0.24997,-0.00991,0.01853,-1.06464,A,144941.10
0.28655,57.68783051,11.98134249,57.68783067,11.98134233,14:49:41.281512,0.00318,0.00000,-0.01763,0.02793,-0.02966,-0.00775,0.00125,0.01403,-0.01470,1.01248,0.28311,0.00000,-0.41924,-0.41094,-0.00050,0.00093,0.24997,-0.00991,0.01853,-1.06464,A,144941.10
