Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,status,NMEA timestamp
0.05202,57.68798758,11.98130213,57.68798817,11.98130067,11:26:16.122555,0.05202,0.05196,0.00000,-0.00089,0.05098,-0.00227,-0.01097,-0.03215,-0.06655,0.92555,0.00001,0.00000,0.00000,0.00792,0.08717,-0.06486,0.01643,0.87174,-0.64864,A,112616.00
0.06894,57.68798706,11.98130345,57.68798817,11.98130067,11:26:16.138693,0.06894,0.00618,0.00000,0.00090,0.04411,-0.02273,-0.01540,-0.07399,-0.04502,0.96661,0.06426,0.00000,-0.00008,0.00766,0.16563,-0.12324,0.01643,0.87174,-0.64864,A,112616.00
0.07971,57.68798659,11.98130464,57.68798817,11.98130067,11:26:16.149466,0.07971,0.00655,0.00000,0.00075,0.03876,-0.01647,-0.01540,-0.11187,-0.01470,0.96105,0.07484,0.00000,-0.00016,0.00747,0.23624,-0.17578,0.01643,0.87174,-0.64864,A,112616.00
0.08804,57.68798616,11.98130571,57.68798817,11.98130067,11:26:16.157789,0.08804,0.00447,0.00000,0.00096,0.03922,-0.00746,-0.01234,-0.07265,0.01391,0.96423,0.08320,0.00000,-0.00023,0.00731,0.29979,-0.22307,0.01643,0.87174,-0.64864,A,112616.00
0.10030,57.68798578,11.98130667,57.68798817,11.98130067,11:26:16.170069,0.10030,0.00620,0.00000,0.00117,0.04915,-0.00379,-0.00959,-0.01135,-0.00232,0.98003,0.09521,0.00000,-0.00030,0.00717,0.35699,-0.26562,0.01643,0.87174,-0.64864,A,112616.00
0.10888,57.68798543,11.98130754,57.68798817,11.98130067,11:26:16.178638,0.10888,0.00441,0.00000,0.00088,0.04624,-0.00089,-0.00837,-0.00232,-0.02519,1.00888,0.10429,0.00000,-0.00038,0.00708,0.40846,-0.30392,0.01643,0.87174,-0.64864,A,112616.00
0.13195,57.68798517,11.98130832,57.68798867,11.98130067,11:26:16.201704,0.13195,0.01725,0.00000,0.00087,0.05098,-0.00654,-0.00746,-0.03044,-0.01269,1.03029,0.11430,0.00000,-0.00045,0.00701,0.45479,-0.33284,0.12901,0.87174,-0.59304,A,112616.10
0.14745,57.68798494,11.98130902,57.68798867,11.98130067,11:26:16.217212,0.14745,0.00550,0.00000,0.00166,0.04884,0.01713,-0.00608,-0.03288,-0.01647,1.03920,0.14257,0.00000,-0.00052,0.00694,0.49649,-0.35886,0.12901,0.87174,-0.59304,A,112616.10
0.15668,57.68798473,11.98130965,57.68798867,11.98130067,11:26:16.226435,0.15668,0.00433,0.00000,0.00158,0.04716,0.01148,-0.00440,0.03447,-0.01238,0.99582,0.15212,0.00000,-0.00059,0.00687,0.53401,-0.38227,0.12901,0.87174,-0.59304,A,112616.10
0.16703,57.68798454,11.98131022,57.68798867,11.98130067,11:26:16.236784,0.16703,0.00445,0.00000,0.00162,0.05021,-0.00227,-0.00791,0.02214,-0.00775,0.97411,0.16219,0.00000,-0.00065,0.00680,0.56778,-0.40335,0.12901,0.87174,-0.59304,A,112616.10
