Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.05523,57.68785850,11.98133933,57.68785850,11.98133933,10:07:33.501677,0.05519,0.00000,-0.00053,0.00866,0.01804,0.00971,-0.02097,-0.04203,-0.02532,0.97161,0.00001,0.00000,-0.00257,0.00000,0.00000,0.00000,0.02586,0.00000,0.00000,0.00000,0.00000,A,100733.40
0.06713,57.68785850,11.98133933,57.68785850,11.98133933,10:07:33.513569,0.00600,0.00000,-0.00063,0.01367,0.01574,0.00605,-0.01883,-0.03843,-0.04892,0.98759,0.06090,0.00000,-0.00279,0.00126,0.00000,0.00000,0.02586,0.00000,0.00000,0.00000,0.00000,A,100733.40
0.07438,57.68785850,11.98133933,57.68785850,11.98133933,10:07:33.520797,0.00301,0.00000,-0.00181,0.01426,0.01254,0.00391,-0.01471,-0.00854,-0.06368,0.95843,0.07079,0.00000,-0.00279,0.00126,0.00000,0.00000,0.02586,0.00000,0.00000,0.00000,0.00000,A,100733.40
0.08491,57.68785850,11.98133933,57.68785850,11.98133933,10:07:33.531319,0.00314,0.00000,-0.00257,0.01486,0.01406,0.00101,-0.01349,-0.01482,-0.03941,0.96246,0.08133,0.00000,-0.00279,0.00126,0.00000,0.00000,0.02586,0.00000,0.00000,0.00000,0.00000,A,100733.40
0.09533,57.68785850,11.98133933,57.68785850,11.98133933,10:07:33.541752,0.00317,0.00000,-0.00309,0.01537,0.01376,-0.00021,-0.00952,-0.03941,-0.02489,0.97484,0.09151,0.00000,-0.00279,0.00126,0.00000,0.00000,0.02586,0.00000,0.00000,0.00000,0.00000,A,100733.40
0.10570,57.68785850,11.98133933,57.68785850,11.98133933,10:07:33.552124,0.00314,0.00000,-0.00351,0.01593,0.02399,0.00742,-0.00677,-0.06021,-0.02666,0.99576,0.10211,0.00000,-0.00279,0.00126,0.00000,0.00000,0.02586,0.00000,0.00000,0.00000,0.00000,A,100733.40
0.11603,57.68785850,11.98133933,57.68785850,11.98133933,10:07:33.562443,0.00308,0.00000,-0.00424,0.01656,0.01666,0.01185,-0.00646,-0.04715,-0.04307,1.01815,0.11243,0.00000,-0.00279,0.00126,0.00000,0.00000,0.02586,0.00000,0.00000,0.00000,0.00000,A,100733.40
0.14071,57.68785850,11.98133933,57.68785900,11.98133933,10:07:33.587154,0.01747,0.00000,-0.00505,0.01724,0.02063,0.00910,-0.00952,-0.00976,-0.05173,1.01687,0.12263,0.00000,-0.00279,0.00126,0.00000,0.00000,0.13772,0.00000,0.05560,1.57080,1.57080,A,100733.50
0.15508,57.68785852,11.98133933,57.68785900,11.98133933,10:07:33.601550,0.00806,0.00000,-0.00587,0.01922,0.00780,-0.01136,-0.02021,-0.03398,-0.05380,1.02736,0.14853,0.00000,0.23239,0.23809,0.00000,0.00278,0.13772,0.00000,0.05560,1.57080,1.57080,A,100733.50
0.16059,57.68785852,11.98133933,57.68785900,11.98133933,10:07:33.607025,0.00317,0.00000,-0.00668,0.02001,0.00582,-0.00800,-0.02051,-0.07967,-0.04319,1.02895,0.15700,0.00000,0.23239,0.23809,0.00000,0.00278,0.13772,0.00000,0.05560,1.57080,1.57080,A,100733.50
