Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,FilteredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.06074,57.68808783,11.98120517,57.68808783,11.98120517,16:45:12.453060,0.06070,0.00000,1.50000,-0.00046,-0.11647,0.00269,-0.00584,-0.00154,-0.01116,-0.00122,1.01065,0.00001,0.00000,0.06793,0.00000,0.00000,0.00000,0.01586,0.00000,0.00000,0.00000,0.00000,A,164512.30
0.07238,57.68808783,11.98120517,57.68808783,11.98120517,16:45:12.464674,0.00541,0.00000,0.00000,-0.00093,-0.11647,0.00162,0.00195,0.00320,0.01257,-0.00720,0.95599,0.06633,0.00000,0.06793,0.00000,0.00000,0.00000,0.01586,0.00000,0.00000,0.00000,0.00000,A,164512.30
0.08274,57.68808783,11.98120517,57.68808783,11.98120517,16:45:12.475034,0.00536,0.00000,0.00000,-0.00140,-0.11647,0.00254,-0.00248,0.00076,-0.01391,-0.00299,0.97600,0.07680,0.00000,0.06793,0.00000,0.00000,0.00000,0.01586,0.00000,0.00000,0.00000,0.00000,A,164512.30
0.09283,57.68808783,11.98120517,57.68808783,11.98120517,16:45:12.485122,0.00506,0.00000,0.00000,-0.00184,-0.11647,0.00788,-0.00798,0.00610,-0.03947,-0.00518,1.00546,0.08718,0.00000,0.06793,0.00000,0.00000,0.00000,0.01586,0.00000,0.00000,0.00000,0.00000,A,164512.30
0.10349,57.68808783,11.98120517,57.68808783,11.98120517,16:45:12.495775,0.00518,0.00000,0.00000,-0.00245,-0.11647,0.00254,-0.00645,0.00442,-0.03953,-0.01354,1.05847,0.09756,0.00000,0.06793,0.00000,0.00000,0.00000,0.01586,0.00000,0.00000,0.00000,0.00000,A,164512.30
0.11441,57.68808783,11.98120517,57.68808783,11.98120517,16:45:12.506702,0.00571,0.00000,0.00000,-0.00340,-0.11647,0.00147,0.00347,0.00350,-0.01128,-0.03825,1.06122,0.10822,0.00000,0.06793,0.00000,0.00000,0.00000,0.01586,0.00000,0.00000,0.00000,0.00000,A,164512.30
0.15272,57.68808783,11.98120517,57.68808800,11.98120433,16:45:12.545028,0.03362,0.00000,1.50000,-0.00421,-0.11647,-0.00342,-0.00294,0.00106,-0.01763,-0.02507,1.04786,0.11833,0.00000,0.06793,0.00000,0.00000,0.00000,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.16294,57.68808784,11.98120512,57.68808800,11.98120433,16:45:12.555238,0.00541,0.00000,0.00000,-0.00485,-0.11644,0.00498,0.00882,0.00137,-0.02824,-0.02684,0.96307,0.15700,0.00000,0.48546,0.41755,-0.00248,0.00093,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.17298,57.68808785,11.98120509,57.68808800,11.98120433,16:45:12.565274,0.00505,0.00000,0.00000,-0.00567,-0.11638,0.00345,0.00317,0.00213,-0.03776,-0.03135,1.00632,0.16735,0.00000,0.84035,0.77248,-0.00483,0.00181,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.18334,57.68808786,11.98120505,57.68808800,11.98120433,16:45:12.575631,0.00515,0.00000,0.00000,-0.00655,-0.11635,0.00559,0.00515,0.00442,0.00140,-0.03697,1.00723,0.17742,0.00000,1.14201,1.07415,-0.00706,0.00264,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.19365,57.68808786,11.98120501,57.68808800,11.98120433,16:45:12.586182,0.00507,0.00000,0.00000,-0.00695,-0.11635,0.00376,-0.00355,0.00014,0.02043,-0.00470,1.03078,0.18802,0.00000,1.39842,1.33056,-0.00919,0.00344,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.20420,57.68808787,11.98120498,57.68808800,11.98120433,16:45:12.596492,0.00523,0.00000,0.00000,-0.00744,-0.11635,0.00147,-0.00981,0.00518,-0.02440,-0.00964,1.02767,0.19819,0.00000,1.61637,1.54851,-0.01120,0.00419,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.21500,57.68808788,11.98120495,57.68808800,11.98120433,16:45:12.607291,0.00562,0.00000,0.00000,-0.00804,-0.11635,-0.00082,-0.00813,-0.00276,-0.07802,-0.01659,1.02828,0.20901,0.00000,1.80163,1.73377,-0.01312,0.00491,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.22483,57.68808788,11.98120492,57.68808800,11.98120433,16:45:12.617125,0.00505,0.00000,0.00000,-0.00856,-0.11635,0.00758,0.00775,-0.00169,-0.07674,-0.01647,0.99460,0.21920,0.00000,1.95910,1.89124,-0.01494,0.00559,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.23555,57.68808789,11.98120489,57.68808800,11.98120433,16:45:12.627834,0.00526,0.00000,0.00000,-0.00932,-0.11635,-0.00067,0.01218,-0.00108,-0.04319,-0.02702,0.98728,0.22954,0.00000,2.09294,2.02509,-0.01667,0.00624,0.13548,-0.04953,0.01853,2.78356,2.78356,A,164512.40
0.28615,57.68808789,11.98120486,57.68808950,11.98120350,16:45:12.678468,0.04545,0.00000,1.50000,-0.00956,-0.11635,0.00131,0.01844,-0.00383,-0.02385,0.00494,0.99955,0.24012,0.00000,2.20672,2.13886,-0.01831,0.00685,0.26798,-0.09906,0.18532,1.85946,1.85946,A,164512.60
