Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,FilteredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.05334,57.68786333,11.98139950,57.68786333,11.98139950,16:45:19.130104,0.05330,0.00000,0.00000,-0.00143,-0.07902,-0.06780,0.00033,-0.00127,0.05636,-0.01958,0.98015,0.00001,0.00000,0.02350,0.00000,0.00000,0.00000,0.01548,0.00000,0.00000,0.00000,0.00000,A,164519.00
0.06695,57.68786333,11.98139950,57.68786333,11.98139950,16:45:19.143703,0.00834,0.00000,0.00000,-0.00688,-0.07902,-0.07711,0.00201,-0.00264,0.05039,-0.03044,1.00711,0.05981,0.00000,0.02350,0.00000,0.00000,0.00000,0.01548,0.00000,0.00000,0.00000,0.00000,A,164519.00
0.07216,57.68786333,11.98139950,57.68786333,11.98139950,16:45:19.148908,0.00302,0.00000,0.00000,-0.00838,-0.07902,-0.08032,-0.00487,-0.00371,0.04648,-0.03068,1.00449,0.06841,0.00000,0.02350,0.00000,0.00000,0.00000,0.01548,0.00000,0.00000,0.00000,0.00000,A,164519.00
0.08273,57.68786333,11.98139950,57.68786333,11.98139950,16:45:19.159478,0.00319,0.00000,0.00000,-0.01002,-0.07902,-0.07910,-0.00578,-0.00783,0.02727,-0.03245,1.01473,0.07898,0.00000,0.02350,0.00000,0.00000,0.00000,0.01548,0.00000,0.00000,0.00000,0.00000,A,164519.00
0.09314,57.68786333,11.98139950,57.68786333,11.98139950,16:45:19.169899,0.00320,0.00000,0.00000,-0.01171,-0.07902,-0.07925,-0.00364,-0.00417,-0.00378,-0.03892,1.01931,0.08917,0.00000,0.02350,0.00000,0.00000,0.00000,0.01548,0.00000,0.00000,0.00000,0.00000,A,164519.00
0.10356,57.68786333,11.98139950,57.68786333,11.98139950,16:45:19.180313,0.00323,0.00000,0.00000,-0.01349,-0.07902,-0.07574,0.00720,-0.00768,-0.01391,-0.04776,1.02285,0.09981,0.00000,0.02350,0.00000,0.00000,0.00000,0.01548,0.00000,0.00000,0.00000,0.00000,A,164519.00
0.11393,57.68786333,11.98139950,57.68786333,11.98139950,16:45:19.190679,0.00320,0.00000,0.00000,-0.01533,-0.07902,-0.07879,0.01315,-0.00356,0.00311,-0.05246,1.02138,0.11015,0.00000,0.02350,0.00000,0.00000,0.00000,0.01548,0.00000,0.00000,0.00000,0.00000,A,164519.00
0.13922,57.68786333,11.98139950,57.68786367,11.98139950,16:45:19.215966,0.01794,0.00000,0.00000,-0.01704,-0.07902,-0.08460,0.01117,-0.00356,0.02928,-0.03965,0.97594,0.12056,0.00000,0.02350,0.00000,0.00000,0.00000,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.15180,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.228572,0.00630,0.00000,0.00000,-0.01966,-0.07902,-0.07375,-0.00166,-0.00524,-0.00964,-0.04240,0.98893,0.14485,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.15929,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.236039,0.00340,0.00000,0.00000,-0.02128,-0.07902,-0.07040,0.00109,-0.00447,-0.02306,-0.04758,1.00687,0.15552,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.16964,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.246392,0.00335,0.00000,0.00000,-0.02285,-0.07902,-0.07269,0.00384,-0.00738,-0.02062,-0.04618,1.01608,0.16587,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.17988,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.256631,0.00320,0.00000,0.00000,-0.02440,-0.07902,-0.07238,0.00628,-0.00600,0.00396,-0.04679,1.01065,0.17612,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.19043,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.267187,0.00335,0.00000,0.00000,-0.02589,-0.07902,-0.06642,0.00598,-0.00997,0.00207,-0.04703,1.00473,0.18665,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.20576,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.282532,0.00843,3.91089,0.00000,-0.02733,-0.07902,-0.05589,0.00705,-0.00799,-0.01885,-0.03806,1.00131,0.20107,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.21727,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.294036,0.00969,3.91089,0.00000,-0.02869,-0.07902,-0.06184,0.01056,-0.00829,-0.02965,-0.04002,1.00418,0.21270,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.22779,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.304545,0.00933,3.91089,0.00000,-0.03019,-0.07902,-0.05405,0.01147,-0.00570,-0.01440,-0.05691,0.99833,0.22401,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
0.23669,57.68786335,11.98139950,57.68786367,11.98139950,16:45:19.313680,0.00804,3.91089,0.00000,-0.03161,-0.07902,-0.04825,0.01163,-0.01119,0.02062,-0.06673,0.98966,0.23229,0.00000,0.25912,0.23562,0.00000,0.00185,0.13579,0.00000,0.03706,1.57080,1.57080,A,164519.10
