Time (s),x (m),y (m),latitude,longitude,status,timestamp,Speed,Course,Date,ModeRMC,NAVStatus,NSIndicator,EWIndicator,MagneticVariation,MagneticVariationEW,StrMotorSwitch
0.0044291019439697266,-700124.5666947233,-6307707.268703361,0.9614673611111112,0.19964905555555554,A,173504.70,0.035,,040722,A,V,N,E,,,1
0.11581110954284668,0.009906147490255535,0.0,57.68804166666667,11.978943499999998,A,173504.80,0.027,,040722,A,V,N,E,,,1
0.21582603454589844,0.009906147490255535,-0.018532490357756615,57.68804149999999,11.978943499999998,A,173504.90,0.012,,040722,A,V,N,E,,,1
0.3160421848297119,0.019812295213341713,-0.018532490357756615,57.68804149999999,11.978943666666664,A,173505.00,0.022,,040722,A,V,N,E,,,1
0.4158971309661865,0.019812295213341713,-0.018532490357756615,57.68804149999999,11.978943666666664,A,173505.10,0.016,,040722,A,V,N,E,,,1
0.516261100769043,0.029718443169258535,-0.018532490357756615,57.68804149999999,11.978943833333336,A,173505.20,0.021,,040722,A,V,N,E,,,1
0.6207480430603027,0.029718443169258535,-0.018532490357756615,57.68804149999999,11.978943833333336,A,173505.30,0.038,,040722,A,V,N,E,,,1
0.7157790660858154,0.029718443169258535,-0.018532490357756615,57.68804149999999,11.978943833333336,A,173505.40,0.053,,040722,A,V,N,E,,,1
0.818073034286499,0.029718443169258535,-0.018532490357756615,57.68804149999999,11.978943833333336,A,173505.50,0.031,,040722,A,V,N,E,,,1
0.9179329872131348,0.029718443169258535,-0.018532490357756615,57.68804149999999,11.978943833333336,A,173505.60,0.047,,040722,A,V,N,E,,,1
1.0165719985961914,0.029718443169258535,-0.018532490357756615,57.68804149999999,11.978943833333336,A,173505.70,0.028,,040722,A,V,N,E,,,1
1.1202220916748047,0.03962459065951407,-0.037064976058900356,57.68804133333333,11.978944000000002,A,173505.80,0.052,,040722,A,V,N,E,,,1
1.2182090282440186,0.03962459065951407,-0.037064976058900356,57.68804133333333,11.978944000000002,A,173505.90,0.013,,040722,A,V,N,E,,,1
1.3200891017913818,0.049530738266184926,-0.037064976058900356,57.68804133333333,11.978944166666668,A,173506.00,0.022,,040722,A,V,N,E,,,1
1.4244070053100586,0.049530738266184926,-0.05559746362268925,57.68804116666667,11.978944166666668,A,173506.10,0.028,,040722,A,V,N,E,,,1
1.5189640522003174,0.05943688587285578,-0.05559746362268925,57.68804116666667,11.978944333333335,A,173506.20,0.033,,040722,A,V,N,E,,,1
1.6178112030029297,0.05943688587285578,-0.05559746362268925,57.68804116666667,11.978944333333335,A,173506.30,0.034,,040722,A,V,N,E,,,1
1.7216711044311523,0.05943688587285578,-0.07412995118647814,57.688041000000005,11.978944333333335,A,173506.40,0.019,,040722,A,V,N,E,,,1
1.8225641250610352,0.06934303336311132,-0.07412995118647814,57.688041000000005,11.9789445,A,173506.50,0.050,,040722,A,V,N,E,,,1
1.9235451221466064,0.06934303336311132,-0.07412995118647814,57.688041000000005,11.9789445,A,173506.60,0.008,,040722,A,V,N,E,,,1
2.0205941200256348,0.0792491810861975,-0.09266244154423475,57.688040833333325,11.978944666666667,A,173506.70,0.019,,040722,A,V,N,E,,,1
2.121051073074341,0.0792491810861975,-0.09266244154423475,57.688040833333325,11.978944666666667,A,173506.80,0.043,,040722,A,V,N,E,,,1
2.2191030979156494,0.0792491810861975,-0.09266244154423475,57.688040833333325,11.978944666666667,A,173506.90,0.024,,040722,A,V,N,E,,,1
2.3220460414886475,0.0792491810861975,-0.09266244154423475,57.688040833333325,11.978944666666667,A,173507.00,0.028,,040722,A,V,N,E,,,1
2.4214041233062744,0.0792491810861975,-0.09266244154423475,57.688040833333325,11.978944666666667,A,173507.10,0.017,,040722,A,V,N,E,,,1
2.5189151763916016,0.06934303336311132,-0.07412995118647814,57.688041000000005,11.9789445,A,173507.20,0.019,,040722,A,V,N,E,,,1
2.6170740127563477,0.0792491810861975,-0.07412995118647814,57.688041000000005,11.978944666666667,A,173507.30,0.031,,040722,A,V,N,E,,,1
2.7209901809692383,0.08915532857645303,-0.09266244154423475,57.688040833333325,11.978944833333333,A,173507.40,0.042,,040722,A,V,N,E,,,1
2.8164901733398438,0.08915532857645303,-0.09266244154423475,57.688040833333325,11.978944833333333,A,173507.50,0.042,,040722,A,V,N,E,,,1
2.9167070388793945,0.09906147618312389,-0.09266244154423475,57.688040833333325,11.978945,A,173507.60,0.008,,040722,A,V,N,E,,,1
3.0172131061553955,0.10896762367337942,-0.09266244154423475,57.688040833333325,11.978945166666666,A,173507.70,0.041,,040722,A,V,N,E,,,1
3.11879301071167,0.10896762367337942,-0.11119492817670107,57.688040666666666,11.978945166666666,A,173507.80,0.015,,040722,A,V,N,E,,,1
3.2196590900421143,0.10896762367337942,-0.11119492817670107,57.688040666666666,11.978945166666666,A,173507.90,0.044,,040722,A,V,N,E,,,1
3.3186399936676025,0.11887377151288092,-0.11119492817670107,57.688040666666666,11.978945333333336,A,173508.00,0.025,,040722,A,V,N,E,,,1
3.419997215270996,0.11887377151288092,-0.11119492817670107,57.688040666666666,11.978945333333336,A,173508.10,0.054,,040722,A,V,N,E,,,1
3.5196280479431152,0.12877991900313646,-0.11119492817670107,57.688040666666666,11.978945500000002,A,173508.20,0.046,,040722,A,V,N,E,,,1
3.615532159805298,0.12877991900313646,-0.12972741480916739,57.68804050000001,11.978945500000002,A,173508.30,0.085,,040722,A,V,N,E,,,1
3.718494176864624,0.1386860666098073,-0.11119492817670107,57.688040666666666,11.978945666666668,A,173508.40,0.017,,040722,A,V,N,E,,,1
