Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
08:56:53.501764,0.25810,0.00600,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00416,0.01248,0.00000,0.00012,0.00034,-0.00335,-0.07601,0.98423,0.24963,0.16117
08:56:53.513083,0.26939,0.00693,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00034,0.00102,0.00000,-0.00049,0.00141,-0.00244,-0.07686,0.98484,0.25985,0.15385
08:56:53.522087,0.27843,0.00567,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00049,0.00148,0.00000,-0.00080,-0.00225,-0.00220,-0.07424,0.98448,0.26997,0.15629
08:56:53.533400,0.28973,0.00655,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00065,0.00194,0.00000,0.00302,-0.00210,-0.00342,-0.07314,0.98271,0.28063,0.15629
08:56:53.543320,0.29966,0.00612,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00172,0.00515,0.00000,-0.00217,-0.00088,-0.00366,-0.07735,0.98430,0.29073,0.16606
08:56:53.554082,0.31041,0.00651,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00172,0.00515,0.00000,0.00424,-0.00179,-0.00470,-0.07424,0.98448,0.30127,0.17582
08:56:53.563577,0.31992,0.00566,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00027,-0.00081,0.00000,-0.00126,0.00294,-0.00256,-0.07521,0.98369,0.31165,0.15873
08:56:53.574827,0.33115,0.00640,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00012,-0.00035,0.00000,0.00027,-0.00134,-0.00372,-0.07558,0.98674,0.32197,0.16850
08:56:53.585464,0.34180,0.00660,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00180,-0.00539,0.00000,-0.00095,0.00034,-0.00488,-0.07692,0.98332,0.33263,0.16850
08:56:53.595551,0.35118,0.00577,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00103,-0.00310,0.00000,-0.00019,-0.00057,-0.00549,-0.07430,0.98253,0.34265,0.17094
08:56:53.606736,0.36305,0.00727,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00202,0.00606,0.00000,-0.00019,-0.00072,-0.00390,-0.07668,0.98271,0.35316,0.16361
08:56:53.616925,0.37324,0.00710,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00332,-0.00997,0.00000,0.00226,-0.00164,-0.00159,-0.07588,0.98747,0.36407,0.16606
08:56:53.626772,0.38310,0.00634,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00103,-0.00310,0.00000,0.00180,-0.00134,-0.00281,-0.07552,0.98460,0.37398,0.17827
08:56:53.637741,0.39336,0.00589,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00271,-0.00814,0.00000,-0.00126,-0.00118,-0.00305,-0.07412,0.98637,0.38493,0.16850
08:56:53.648027,0.40416,0.00632,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00378,-0.01135,0.00000,0.00073,-0.00195,-0.00201,-0.07497,0.98430,0.39501,0.17094
08:56:53.658426,0.41475,0.00655,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00080,0.00240,0.00000,0.00424,-0.00103,-0.00604,-0.07741,0.98661,0.40559,0.15385
08:56:53.669828,0.42614,0.00759,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00210,-0.00631,0.00000,0.00210,0.00111,-0.00403,-0.07509,0.98539,0.41617,0.16606
08:56:53.678190,0.43453,0.00578,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00355,0.01064,0.00000,0.00012,-0.00240,-0.00476,-0.07332,0.98515,0.42607,0.15873
08:56:53.689840,0.44618,0.00669,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00248,0.00744,0.00000,-0.00126,-0.00027,-0.00213,-0.07442,0.98295,0.43704,0.15385
08:56:53.700527,0.45596,0.00612,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00034,0.00102,0.00000,0.00164,-0.00271,-0.00342,-0.07412,0.98704,0.44702,0.17582
08:56:53.711439,0.46776,0.00757,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00134,-0.00402,0.00000,0.00226,0.00019,-0.00409,-0.07448,0.98680,0.45861,0.16117
08:56:53.721831,0.47762,0.00661,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00065,0.00194,0.00000,0.00012,-0.00011,-0.00543,-0.07643,0.98484,0.46852,0.15873
