Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time (s),CalculationTime (s),Roll (deg),SteeringAngle (deg),RollRate (deg),ControlInput (deg),gy (rad/s),gz (rad/s),ax (g),ay (g),az (g),imu_read_timing (s),SteerMotorCurrent (A)
10:33:32.938704,0.01284,0.01213,-0.00881,0.55459,0.35329,0.00000,-0.00135,-0.00222,-0.01019,0.01019,0.99046,0.00001,0.01465
10:33:32.957246,0.03216,0.00543,-0.01996,0.55459,0.12579,-1.66378,-0.00074,-0.00176,-0.01086,0.00817,0.99033,0.02224,0.01221
10:33:32.967035,0.04195,0.00486,-0.03220,0.55297,0.26579,-1.66378,-0.00578,0.00129,-0.01141,0.00695,0.98863,0.03194,0.09524
10:33:32.977284,0.05220,0.00474,-0.04209,0.54649,0.43204,-1.63946,-0.00105,-0.00024,-0.01116,0.00732,0.99210,0.04232,0.14408
10:33:32.987812,0.06272,0.00495,-0.05289,0.52703,0.37079,-1.58108,-0.00227,-0.00039,-0.00982,0.00689,0.98832,0.05246,0.05861
10:33:32.997935,0.07285,0.00472,-0.06423,0.49946,0.38829,-1.49838,0.00170,-0.00085,-0.01464,0.00573,0.98722,0.06295,0.10745
10:33:33.008694,0.08322,0.00473,-0.07905,0.46865,0.17829,-1.40595,-0.00441,0.00175,-0.01574,0.00409,0.98820,0.07314,0.08547
10:33:33.018829,0.09375,0.00489,-0.08371,0.44270,0.22204,-1.32811,-0.00166,0.00114,-0.01372,0.01494,0.98960,0.08366,0.06838
10:33:33.029010,0.10393,0.00471,-0.08833,0.42162,0.44079,-1.26486,-0.00364,-0.00131,-0.01348,0.01238,0.98893,0.09402,0.04151
10:33:33.040264,0.11518,0.00538,-0.09899,0.40378,0.45829,-1.21135,-0.00166,0.00083,-0.01580,0.00512,0.99155,0.10443,0.03663
10:33:33.053072,0.12797,0.00796,-0.11095,0.39081,0.48454,-1.17243,0.00033,0.00098,-0.01562,0.00244,0.99125,0.11610,0.04884
10:33:33.061866,0.13677,0.00616,-0.12228,0.37622,0.35329,-1.17243,0.00048,0.00297,-0.01604,0.00567,0.99155,0.12535,0.12698
10:33:33.072279,0.14719,0.00622,-0.12958,0.36324,0.30954,-1.08973,-0.00196,0.00160,-0.01494,0.01019,0.99204,0.13577,0.15140
10:33:33.083079,0.15796,0.00629,-0.13530,0.34865,0.33579,-1.04595,-0.00074,0.00022,-0.01397,0.01135,0.98741,0.14663,0.10989
10:33:33.093653,0.16854,0.00653,-0.14141,0.33243,0.21329,-0.99730,0.00033,-0.00222,-0.01568,0.01251,0.98960,0.15677,0.08059
10:33:33.104289,0.17920,0.00652,-0.14601,0.31622,0.49329,-0.94865,-0.00028,-0.00390,-0.01458,0.01049,0.98674,0.16762,0.18315
10:33:33.114125,0.18902,0.00613,-0.15214,0.29514,0.23954,-0.88541,-0.00181,-0.00131,-0.01476,0.01196,0.98808,0.17781,0.12210
10:33:33.125333,0.20023,0.00698,-0.15827,0.27892,0.31829,-0.83676,0.00140,-0.00283,-0.01318,0.01086,0.98899,0.18828,0.17094
10:33:33.135112,0.21002,0.00656,-0.16863,0.26919,0.08204,-0.83676,-0.00181,-0.00299,-0.01183,0.00872,0.98875,0.19835,0.14652
10:33:33.145717,0.22061,0.00684,-0.18151,0.25622,0.13454,-0.76865,-0.00685,-0.00146,-0.01226,0.00500,0.98820,0.20873,0.19536
10:33:33.155912,0.23081,0.00621,-0.18953,0.23676,0.06454,-0.71027,0.00216,0.00098,-0.01116,0.01116,0.98924,0.21941,0.12698
10:33:33.167410,0.24230,0.00734,-0.19513,0.22054,0.18704,-0.66162,-0.00105,0.00037,-0.00921,0.01214,0.98924,0.23103,0.14164
10:33:33.176544,0.25145,0.00628,-0.20013,0.20919,0.18704,-0.66162,-0.00410,-0.00131,-0.01080,0.01330,0.99113,0.24010,0.12210
10:33:33.187482,0.26238,0.00624,-0.20658,0.19946,0.20454,-0.59838,0.00079,-0.00146,-0.01177,0.01092,0.99107,0.25108,0.13675
