Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time (s),CalculationTime (s),Roll (deg),SteeringAngle (deg),RollRate (deg),ControlInput (deg),gy (rad/s),gz (rad/s),ax (g),ay (g),az (g),imu_read_timing (s),SteerMotorCurrent (A),deltadot_computed,steering_acc
10:50:15.526580,0.01515,0.01458,-0.02168,-2.71135,0.03024,42.62049,0.00066,-0.00049,-0.00817,-0.00098,0.98918,0.00001,0.00977,-5.16681,80.80410
10:50:15.544872,0.03368,0.00709,-0.05789,-2.42757,-0.14476,39.72365,-0.00148,0.00027,-0.01074,-0.01434,0.99680,0.02141,0.00000,0.23243,-2.36869
10:50:15.557275,0.04605,0.00856,-0.02826,-2.08216,-0.10976,35.45702,-0.00056,-0.00630,0.00927,0.05600,0.94178,0.03204,0.00000,0.57223,-7.04571
10:50:15.567603,0.05639,0.00874,-0.11494,-1.73189,0.01274,30.02746,-0.00056,-0.00584,-0.03459,-0.07509,0.97454,0.04135,0.00000,0.65363,-10.09544
10:50:15.578240,0.06704,0.00903,0.02870,-1.38649,0.04774,26.49001,-0.00224,-0.00431,0.01013,0.18916,0.98820,0.05183,0.00000,0.58341,-5.95591
10:50:15.590243,0.07903,0.01053,0.03573,-1.07514,0.65149,25.41457,-0.00194,-0.00538,0.00952,0.02458,0.97454,0.06261,0.00000,0.50531,-1.74005
10:50:15.612356,0.10115,0.00874,0.10098,-0.44595,0.70399,25.55563,-0.00774,0.01921,-0.00921,0.08046,0.98783,0.08722,0.00000,0.44711,0.10010
10:50:15.622894,0.11169,0.00866,0.15536,-0.20595,1.00149,27.12219,-0.00835,0.02776,-0.00403,0.07863,0.99887,0.09687,0.00000,0.43624,2.83774
10:50:15.633079,0.12188,0.00868,0.22006,0.04054,1.95524,32.56969,-0.00194,0.03921,-0.01220,0.07973,0.99601,0.10701,0.00000,0.42598,9.38376
10:50:15.643942,0.13275,0.00886,0.21261,0.32595,2.21774,38.60450,-0.00270,0.04364,0.00281,-0.00695,0.98716,0.11783,0.00000,0.46149,9.72729
10:50:15.655560,0.14436,0.01029,0.23004,0.65351,2.61149,46.07001,-0.00637,0.04654,-0.01244,0.01513,0.97551,0.12889,0.00000,0.49762,11.30364
10:50:15.677416,0.16621,0.01006,0.26220,1.53405,2.36649,54.77844,-0.00209,0.03998,-0.01031,0.00354,0.99387,0.15192,0.00000,0.68334,6.74827
10:50:15.703144,0.19195,0.01067,0.32981,2.88162,2.36649,59.44414,-0.00316,0.03127,-0.00073,0.03721,0.99174,0.17786,0.00000,0.90848,3.14144
10:50:15.726208,0.21498,0.01058,0.39662,4.09297,2.60274,64.63419,-0.00698,0.03585,-0.01171,0.04020,0.99277,0.20053,0.00000,0.93338,3.99325
10:50:15.744711,0.23352,0.00736,0.45926,5.36595,3.41649,71.61478,-0.00392,0.05173,-0.02739,0.02379,0.99436,0.22109,0.00000,1.08394,5.93446
10:50:15.755489,0.24429,0.00751,0.45636,6.00649,3.33774,74.39543,-0.00209,0.06013,-0.00555,-0.01019,0.96569,0.23149,0.00000,1.07796,4.66519
10:50:15.764956,0.25376,0.00662,0.46002,6.72486,3.29399,74.16295,-0.00377,0.06441,-0.00262,0.00134,0.99277,0.24089,0.00000,1.34326,-0.43312
10:50:15.777578,0.26638,0.00874,0.48867,7.46432,3.39024,75.14224,-0.00117,0.06395,-0.03410,0.02428,0.98234,0.25151,0.00000,1.22045,1.61107
10:50:15.787437,0.27624,0.00830,0.51337,8.22000,3.42524,75.12514,-0.00224,0.06731,-0.01592,0.02214,0.99253,0.26159,0.00000,1.31339,-0.02962
10:50:15.797394,0.28619,0.00807,0.53498,9.01622,3.22399,74.16706,-0.00102,0.06334,-0.03965,0.01903,0.99241,0.27228,0.00000,1.30483,-1.56525
10:50:15.807382,0.29616,0.00767,0.55317,9.75243,3.47774,73.60744,-0.00423,0.06609,-0.00140,0.01580,0.97539,0.28205,0.00000,1.32207,-1.00165
10:50:15.817265,0.30606,0.00710,0.57281,10.54378,3.25024,72.15955,0.00249,0.06930,-0.05051,0.01690,0.98936,0.29279,0.00000,1.28889,-2.35099
10:50:15.829586,0.31836,0.00875,0.57771,11.33189,3.08399,69.66596,0.00326,0.07693,-0.00335,0.00201,0.97844,0.30362,0.00000,1.27727,-4.02934
10:50:15.839481,0.32766,0.00738,0.58411,12.13946,2.83899,65.50356,-0.00270,0.07693,-0.03617,0.00738,0.98332,0.31426,0.00000,1.30350,-6.69685
10:50:15.849643,0.33845,0.00781,0.58828,12.94703,2.81274,61.12042,-0.00087,0.08487,-0.03123,0.00238,0.98369,0.32580,0.09524,1.22265,-6.61536
