Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
08:55:27.339051,0.01248,0.01246,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00014,-0.00041,0.00000,-0.00002,0.00110,-0.00232,-0.07442,0.98698,0.00001,0.05861
08:55:27.359200,0.03268,0.00797,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00060,-0.00179,0.00000,0.00349,-0.00134,-0.00293,-0.07363,0.98625,0.02282,0.16361
08:55:27.369411,0.04290,0.00802,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00166,-0.00499,0.00000,-0.00032,-0.00211,-0.00323,-0.07625,0.98350,0.03145,0.15140
08:55:27.379086,0.05256,0.00732,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00261,0.00784,0.00000,0.00013,0.00003,-0.00378,-0.07338,0.98454,0.04271,0.15629
08:55:27.389549,0.06305,0.00676,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00121,-0.00362,0.00000,-0.00032,-0.00226,-0.00525,-0.07503,0.98503,0.05302,0.15873
08:55:27.399553,0.07303,0.00638,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00078,0.00234,0.00000,0.00044,-0.00104,-0.00329,-0.07418,0.98436,0.06316,0.15385
08:55:27.410668,0.08340,0.00640,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00121,-0.00362,0.00000,-0.00032,-0.00379,-0.00390,-0.07381,0.98326,0.07418,0.15140
08:55:27.420946,0.09441,0.00708,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00017,0.00050,0.00000,0.00120,-0.00104,-0.00250,-0.07466,0.98308,0.08410,0.17827
08:55:27.430008,0.10351,0.00567,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00292,0.00875,0.00000,0.00151,0.00110,-0.00299,-0.07533,0.98552,0.09431,0.17582
08:55:27.441831,0.11531,0.00722,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00273,-0.00820,0.00000,0.00029,0.00018,-0.00360,-0.07479,0.98442,0.10486,0.16850
08:55:27.451168,0.12465,0.00636,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00047,0.00142,0.00000,-0.00078,-0.00180,-0.00226,-0.07521,0.98381,0.11479,0.16117
08:55:27.461756,0.13525,0.00661,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00014,-0.00041,0.00000,0.00044,0.00140,-0.00586,-0.07564,0.98533,0.12530,0.17827
08:55:27.473104,0.14660,0.00743,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00014,-0.00041,0.00000,0.00029,0.00049,-0.00464,-0.07375,0.98533,0.13647,0.16117
08:55:27.482700,0.15618,0.00643,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00078,0.00234,0.00000,-0.00200,-0.00196,-0.00348,-0.07460,0.98545,0.14625,0.16361
08:55:27.494060,0.16703,0.00667,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00368,0.01104,0.00000,0.00105,-0.00058,-0.00275,-0.07588,0.98423,0.15715,0.16606
08:55:27.502911,0.17641,0.00569,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00258,-0.00774,0.00000,0.00044,0.00201,-0.00256,-0.07607,0.98454,0.16719,0.15873
08:55:27.514205,0.18769,0.00660,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00228,-0.00683,0.00000,-0.00063,0.00156,-0.00317,-0.07546,0.98631,0.17777,0.16850
