Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,Roll,SteeringAngle,RollRate,ControlInput,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
09:17:28.417052,0.01232,0.01230,0.00000,-0.00020,0.00287,-0.12354,-0.00216,0.00704,0.02812,0.38680,0.91945,0.00001,1.31624
09:17:28.440530,0.03522,0.01122,0.00000,-0.00020,-0.00278,0.11587,-0.00124,0.00246,0.02946,0.38119,0.91732,0.02424,1.39194
09:17:28.460426,0.05570,0.01069,0.00000,-0.00020,0.00027,-0.01354,-0.00368,-0.00411,0.03044,0.38643,0.91592,0.04442,1.43101
09:17:28.483588,0.07885,0.01192,0.00000,-0.00020,0.00150,-0.06531,-0.00048,-0.00304,0.02769,0.38686,0.91817,0.06739,1.42125
09:17:28.504999,0.10026,0.01106,0.00000,-0.00020,0.00287,-0.12354,-0.00216,0.00139,0.02599,0.38302,0.92153,0.08844,1.41880
09:17:28.529155,0.12443,0.01169,0.00000,-0.00020,0.00409,-0.17531,-0.00109,0.00352,0.02898,0.39095,0.91549,0.11305,1.41148
09:17:28.552136,0.14719,0.01094,0.00000,-0.00020,0.00180,-0.07825,-0.00124,0.00093,0.02416,0.38985,0.91463,0.13674,1.42613
09:17:28.574918,0.17020,0.01118,0.00000,-0.00020,-0.00217,0.08999,0.00120,-0.00426,0.02495,0.38326,0.92128,0.15895,1.41636
09:17:28.597885,0.19316,0.01156,0.00000,-0.00020,-0.00186,0.07705,-0.00231,-0.00564,0.03044,0.38961,0.92141,0.18138,1.43101
09:17:28.620079,0.21514,0.01160,0.00000,-0.00020,-0.00064,0.02528,-0.00445,0.00139,0.03172,0.39497,0.91768,0.20404,1.39927
09:17:28.643233,0.23849,0.01107,0.00000,-0.00020,-0.00049,0.01881,-0.00048,0.00200,0.02446,0.39083,0.91286,0.22732,1.42125
09:17:28.664412,0.25875,0.01159,0.00000,-0.00020,-0.00446,0.18705,0.00151,0.00337,0.02538,0.38460,0.91878,0.24649,1.41880
09:17:28.687653,0.28294,0.01100,0.00000,-0.00020,-0.00858,0.36175,-0.00078,0.00001,0.03105,0.38991,0.91976,0.27199,1.40904
09:17:28.710291,0.30557,0.01062,0.00000,-0.00020,-0.00797,0.33587,0.00151,-0.00106,0.02885,0.39522,0.91390,0.29504,1.42857
09:17:28.733200,0.32848,0.01254,0.00000,-0.00020,-0.01133,0.47822,0.00059,-0.00152,0.02391,0.37979,0.91286,0.31704,1.42369
09:17:28.758821,0.35409,0.01344,0.00000,-0.00020,-0.00828,0.34881,0.00334,0.00658,0.03099,0.38845,0.91768,0.34249,1.41148
09:17:28.782693,0.37795,0.01184,0.00000,-0.00020,-0.00950,0.40058,0.00197,0.00520,0.02483,0.38601,0.92183,0.36612,1.38706
