Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time (s),CalculationTime (s),Roll (deg),SteeringAngle (deg),RollRate (deg),ControlInput (deg),gy (rad/s),gz (rad/s),ax (g),ay (g),az (g),imu_read_timing (s),SteerMotorCurrent (A),deltadot_computed,steering_acc
10:49:04.153951,0.01474,0.01416,-0.00779,1.49351,-0.12885,-24.05887,-0.00222,0.00148,-0.00140,0.01684,0.99058,0.00001,0.00977,2.81558,-45.12696
10:49:04.175854,0.03706,0.01049,0.00141,1.31351,-0.05010,-23.91535,0.00084,0.00285,-0.00409,0.03605,0.98875,0.02245,0.21978,-0.14122,0.11242
10:49:04.197388,0.05860,0.01031,-0.00434,0.78973,0.22990,-15.92878,0.00099,-0.00005,-0.01116,0.01196,0.99204,0.04470,0.15873,-0.41170,6.26846
10:49:04.221338,0.08255,0.01031,-0.00736,0.38595,-0.09385,-11.49980,-0.00084,0.00682,-0.01446,0.02336,0.99180,0.06842,1.08425,-0.29743,3.25804
10:49:04.243659,0.10488,0.00943,-0.00723,0.05351,-0.33010,-9.29842,0.00023,-0.00188,-0.01257,0.03337,0.99174,0.09228,0.86447,-0.24373,1.61177
10:49:04.254081,0.11529,0.00815,0.00335,-0.05838,-0.20760,-8.10438,0.00404,-0.00219,-0.01470,0.03837,0.98710,0.10106,0.51526,-0.22364,2.37737
10:49:04.265127,0.12632,0.00900,-0.00325,-0.18000,0.00240,-6.16765,0.00099,-0.00417,-0.01677,0.01677,0.99021,0.11146,0.59585,-0.20497,3.25364
10:49:04.274258,0.13474,0.00732,-0.03555,-0.29189,-0.12885,-5.18747,0.00145,-0.01089,-0.02355,-0.01128,0.98332,0.12220,0.21001,-0.18237,1.59258
10:49:04.285107,0.14632,0.00854,-0.05537,-0.38757,-0.07635,-4.43759,-0.00008,-0.01166,-0.01836,0.00177,0.98667,0.13233,0.27350,-0.16571,1.29455
10:49:04.295898,0.15711,0.00914,-0.07343,-0.47351,-0.01510,-3.82076,-0.00222,-0.01303,-0.01946,0.00275,0.98960,0.14249,0.20757,-0.14830,1.06097
10:49:04.305580,0.16680,0.00860,-0.08205,-0.55784,-0.01510,-3.26408,0.00053,-0.01349,-0.02129,0.01330,0.98924,0.15264,0.11477,-0.14867,0.97823
10:49:04.317226,0.17733,0.00897,-0.08672,-0.64054,0.32615,-1.65322,-0.00145,-0.01792,-0.01104,0.01409,0.99582,0.16221,0.01709,-0.13937,2.70489
10:49:04.326020,0.18724,0.00773,-0.08157,-0.71351,0.71990,1.19482,0.00358,-0.01944,-0.00952,0.01976,0.99192,0.17329,0.00733,-0.12481,4.85615
10:49:04.336396,0.19761,0.00788,-0.07322,-0.76054,0.99990,4.73725,0.00038,-0.02403,-0.00207,0.02080,0.99082,0.18367,0.00733,-0.07942,5.96332
10:49:04.346030,0.20724,0.00717,-0.05728,-0.78162,1.27115,8.84847,-0.00145,-0.02403,-0.00073,0.02714,0.99277,0.19363,0.00733,-0.03710,7.21138
10:49:04.357599,0.21880,0.00797,-0.06479,-0.77676,1.35865,13.18906,-0.00298,-0.02571,-0.00299,-0.00238,0.98808,0.20473,0.00000,0.00768,6.83554
10:49:04.368405,0.22961,0.00842,-0.09340,-0.74432,0.75490,14.41855,-0.00039,-0.02311,-0.00964,-0.01824,0.98667,0.21473,0.00000,0.05570,2.10444
10:49:04.378869,0.23957,0.00818,-0.08154,-0.64703,0.54490,14.18503,0.00114,-0.02036,-0.00622,0.02928,0.98552,0.22601,0.00000,0.15382,-0.36811
10:49:04.388949,0.25016,0.00841,-0.05990,-0.51081,0.85990,14.29468,-0.00268,-0.01837,-0.00805,0.03843,0.98460,0.23549,0.00488,0.25206,0.20220
10:49:04.398561,0.25958,0.00761,-0.02860,-0.35027,1.03490,15.02392,-0.00436,-0.01318,-0.00903,0.04740,0.98637,0.24556,0.00244,0.27936,1.26492
10:49:04.410481,0.27081,0.00849,-0.00630,-0.19297,1.22740,16.75721,-0.00283,-0.00936,-0.00775,0.03483,0.98759,0.25608,0.01221,0.26236,2.88164
10:49:04.420186,0.28140,0.00867,0.01907,-0.04703,1.33240,19.54159,0.00007,-0.00753,-0.00537,0.03678,0.99454,0.26723,0.00000,0.22892,4.35412
10:49:04.431313,0.29253,0.00963,0.03637,0.07297,1.34990,22.13220,0.00190,-0.00662,-0.01446,0.03019,0.99277,0.27670,0.00000,0.22257,4.78815
10:49:04.439726,0.30093,0.00769,0.03135,0.20757,1.42865,24.97028,0.00404,-0.00616,-0.01165,0.00256,0.99271,0.28697,0.00000,0.22930,4.81940
10:49:04.449437,0.31065,0.00705,0.04828,0.42486,1.20990,26.25157,-0.00283,-0.00234,-0.01244,0.02910,0.98820,0.29807,0.00000,0.34331,2.01795
10:49:04.461946,0.32229,0.00838,0.04653,0.63081,1.27115,27.11887,-0.00039,-0.00127,-0.00305,0.00915,0.97899,0.30772,0.00000,0.37427,1.57056
10:49:04.472373,0.33308,0.00898,0.03415,0.86432,1.20115,27.12767,-0.00145,-0.00035,-0.00732,-0.00262,0.97923,0.31765,0.00000,0.41222,0.01549
10:49:04.480811,0.34203,0.00719,0.04929,1.13676,1.30615,27.30093,-0.00436,0.00774,-0.02593,0.02593,0.98606,0.32869,0.00000,0.43241,0.27422
10:49:04.492849,0.35406,0.00850,0.08647,1.41243,0.99115,26.73293,-0.00634,0.01003,-0.00238,0.05551,0.99223,0.33998,0.00000,0.42784,-0.87894
10:49:04.503264,0.36446,0.00861,0.08556,1.67189,1.45490,26.99992,-0.00252,0.00820,-0.01397,0.00909,0.98137,0.34945,0.00000,0.48062,0.49279
10:49:04.514029,0.37498,0.00894,0.08952,1.92649,1.20115,26.80079,-0.00237,0.01049,-0.00171,0.01616,0.99198,0.35991,0.00000,0.42660,-0.33262
10:49:04.523442,0.38466,0.00847,0.08265,2.20703,0.95615,24.93548,0.00190,0.01446,-0.01391,0.00732,0.99192,0.36974,0.00000,0.50039,-3.31559
10:49:04.533384,0.39456,0.00818,0.08673,2.46649,0.65865,22.41558,-0.00191,0.01431,-0.00756,0.02269,0.99113,0.38020,0.00000,0.43476,-4.20947
10:49:04.544013,0.40523,0.00849,0.12197,2.70973,0.66740,20.56838,-0.00191,0.02118,-0.00921,0.05807,0.98930,0.39127,0.00000,0.38461,-2.91235
10:49:04.553595,0.41481,0.00771,0.15372,2.93838,0.42240,18.19862,-0.00100,0.02607,-0.00268,0.05838,0.98808,0.40086,0.00000,0.41831,-4.32094
10:49:04.565330,0.42627,0.00878,0.18677,3.16703,0.49240,16.50951,-0.00115,0.03065,-0.01671,0.05880,0.98606,0.41177,0.00000,0.36699,-2.70315
10:49:04.574922,0.43614,0.00831,0.20071,3.35838,0.22990,14.42190,-0.00054,0.03431,-0.01440,0.04136,0.99528,0.42141,0.00000,0.34799,-3.78320
10:49:04.585543,0.44676,0.00832,0.21255,3.54324,0.18615,12.44029,0.00175,0.03935,-0.02580,0.03904,0.98936,0.43279,0.00000,0.28445,-3.04050
10:49:04.595599,0.45681,0.00821,0.21394,3.71027,-0.11135,9.60842,0.00358,0.03966,-0.01397,0.03068,0.98606,0.44219,0.00488,0.31192,-5.26973
10:49:04.606123,0.46734,0.00838,0.22137,3.85622,-0.63635,5.31355,0.00343,0.04241,-0.01781,0.04423,0.98997,0.45272,0.00244,0.24290,-7.12481
10:49:04.616754,0.47796,0.00884,0.20922,3.98595,-0.92510,-0.17563,0.00557,0.03660,-0.00134,0.02593,0.99064,0.46391,0.01221,0.20291,-8.56090
10:49:04.626845,0.48806,0.00876,0.19537,4.08162,-1.17885,-5.81382,0.00404,0.03676,-0.02178,0.02544,0.99363,0.47389,0.15140,0.16820,-9.87892
10:49:04.636966,0.49818,0.00872,0.19008,4.13514,-1.58135,-11.85121,0.00358,0.03660,-0.00958,0.03843,0.99015,0.48325,0.34188,0.10007,-11.25161
10:49:04.647227,0.50844,0.00887,0.16698,4.13189,-1.50260,-18.05602,0.00328,0.03401,-0.01659,0.01873,0.98625,0.49369,0.73016,-0.00513,-9.77931
10:49:04.656262,0.51747,0.00773,0.15167,4.04595,-1.43260,-21.87560,0.00068,0.03080,-0.00769,0.02556,0.98820,0.50355,0.27595,-0.16389,-7.25807
10:49:04.667461,0.52866,0.00858,0.13567,3.87568,-1.20510,-24.64984,0.00450,0.03187,-0.00744,0.02330,0.98979,0.51436,0.48107,-0.27585,-4.48116
10:49:04.677998,0.53921,0.00819,0.08905,3.65514,-1.28385,-27.19442,0.00450,0.03080,-0.00762,-0.01183,0.98808,0.52477,0.49328,-0.37143,-4.27158
10:49:04.688766,0.54998,0.00860,0.06879,3.42324,-1.60760,-30.89932,0.00114,0.03004,0.00287,0.02178,0.98057,0.53544,0.80342,-0.38074,-6.06257
10:49:04.699056,0.55994,0.00838,0.03961,3.16541,-1.80885,-34.46704,0.00221,0.02897,-0.00329,0.01214,0.98954,0.54530,1.00611,-0.45877,-6.32747
10:49:04.709074,0.57029,0.00837,0.00504,2.86703,-1.52010,-37.04336,-0.00069,0.02316,-0.00695,0.00287,0.98405,0.55556,0.90354,-0.50996,-4.38988
10:49:04.720454,0.58120,0.00884,-0.06553,2.52000,-1.88760,-41.89784,0.00038,0.01400,0.00458,-0.03379,0.98588,0.56628,0.98657,-0.52631,-7.33629
10:49:04.729908,0.59112,0.00872,-0.07213,2.13568,-2.36885,-45.94104,0.00343,0.00835,0.00537,0.04465,0.99948,0.57693,1.40415,-0.68657,-7.19935
10:49:04.738961,0.60017,0.00759,-0.10010,1.72216,-2.34260,-49.74764,0.00160,0.00209,-0.00659,0.01720,0.97332,0.58696,1.45543,-0.72192,-6.62389
10:49:04.749254,0.61047,0.00723,-0.15242,1.25514,-2.19385,-52.67457,0.00099,-0.00295,0.01196,-0.01269,1.00247,0.59706,1.52625,-0.81123,-5.06786
10:49:04.761924,0.62314,0.00874,-0.19552,0.69081,-1.77385,-54.83768,-0.00069,-0.00936,-0.02403,-0.00470,0.99113,0.60862,2.09035,-0.80712,-3.08468
