Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
09:00:03.414238,0.01155,0.01153,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00172,-0.00516,0.00000,0.00342,0.00075,-0.00335,-0.07509,0.98533,0.00001,0.05617
09:00:03.437377,0.03474,0.00895,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00027,0.00080,0.00000,-0.00177,-0.00062,-0.00506,-0.07625,0.98466,0.02511,0.13675
09:00:03.446032,0.04340,0.00737,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00157,-0.00470,0.00000,-0.00162,-0.00001,-0.00421,-0.07351,0.98448,0.03476,0.14408
09:00:03.456211,0.05355,0.00719,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00576,0.01729,0.00000,0.00006,0.00044,-0.00360,-0.07607,0.98582,0.04457,0.15873
09:00:03.467485,0.06484,0.00811,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00194,0.00583,0.00000,-0.00330,-0.00185,-0.00354,-0.07540,0.98423,0.05512,0.15385
09:00:03.476591,0.07394,0.00656,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00454,0.01362,0.00000,0.00204,0.00182,-0.00232,-0.07631,0.98320,0.06500,0.15629
09:00:03.486220,0.08359,0.00592,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00080,-0.00241,0.00000,0.00036,-0.00139,-0.00488,-0.07338,0.98387,0.07530,0.16361
09:00:03.496603,0.09397,0.00610,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00004,-0.00012,0.00000,-0.00223,0.00014,-0.00445,-0.07582,0.98405,0.08565,0.17582
09:00:03.507183,0.10454,0.00645,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00218,-0.00654,0.00000,-0.00055,-0.00017,-0.00268,-0.07485,0.98637,0.09558,0.15385
09:00:03.517628,0.11499,0.00653,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00233,-0.00699,0.00000,-0.00132,0.00258,-0.00396,-0.07393,0.98491,0.10602,0.18071
